resnet, desktop
0, 8
2, 11
3, 8
3, 6
4, 4
2, 5
3, 5
2, 7
4, 6
2, 9
3, 5
2, 7
2, 6
6, 6
6, 6
1, 4
6, 8
3, 9
9, 8
5, 6
2, 14
4, 13
6, 4
4, 6
0, 6
5, 9
1, 9
1, 8
4, 2
6, 8
3, 5
3, 10
3, 11
3, 8
6, 12
9, 7
6, 10
7, 5
5, 4
10, 12
5, 12
1, 9
1, 5
4, 8
6, 6
2, 6
5, 8
7, 9
8, 4
4, 2
4, 7
1, 5
3, 10
2, 5
2, 11
1, 3
1, 7
7, 7
7, 10
5, 7
7, 4
4, 12
5, 5
7, 6
10, 8
3, 5
5, 10
3, 1
5, 13
8, 6
1, 6
1, 7
3, 8
5, 6
3, 8
4, 7
7, 9
9, 8
4, 12
10, 12
8, 15
4, 13
5, 10
8, 8
5, 3
4, 9
9, 7
2, 7
7, 14
7, 10
5, 6
6, 10
3, 8